,parameters,minimum,maximum
0,AKT,3,5
1,AKTp,2,4
2,GSK3,2,4
3,GSK3p,2,4
4,JNK,4,5
5,JNKp,1,2
6,p38,4,5
7,p38p,2,4
8,FOXO1,3,4
9,FOXO1p,3,4
10,PDX1,2,4
11,MAFA,3,4
12,k_AKT,3,5
13,k_AKTp,0.1,0.5
14,k_AKT_JNK,0.1,0.3
15,k_GSK3,0.2,0.5
16,k_GSK3p,0.3,1
17,k_JNK_ROS,4,5
18,k_JNK_UPR,3,5
19,k_p38_ROS,2,5
20,k_p38_UPR,4,6
21,k_MAPKp,1,2
22,k_FOXO1_AKTp,1,2
23,k_FOXO1p_MAPKp,0.4,1.5
24,Vm_PDX1,1,2
25,K_MAFA_PDX1,1,3
26,K_FOXO1_PDX1,2,5
27,k_PDX1_FOXO1_efflux,0.09,0.2
28,k_GSK3_PDX1_pdeg,0.08,0.11
29,Vm_MAFA,1,3
30,K_PDX1_MAFA,2,3
31,K_FOXO1_MAFA,0.09,1
32,k_ROS_MAFA,0.01,0.09
33,k_GSK3_MAFA_pdeg,0.002,0.01
34,Vm_INS,0.6,2
35,K_PDX1_INS,1,3
36,K_MAFA_INS,1,3
