parameters,Values,Cost
AKT,4.836576361246191,1.2922438489008174
AKTp,3.8001415678992867,1.2922438489008174
GSK3,3.1077975769357358,1.2922438489008174
GSK3p,3.9980122297923604,1.2922438489008174
JNK,4.917579268886527,1.2922438489008174
JNKp,1.77120620838538,1.2922438489008174
p38,4.929650643775163,1.2922438489008174
p38p,2.177163453285401,1.2922438489008174
FOXO1,3.491344920506994,1.2922438489008174
FOXO1p,3.7272198153874645,1.2922438489008174
PDX1,3.0160242469027114,1.2922438489008174
MAFA,3.771237753057406,1.2922438489008174
k_AKT,4.6239432739354465,1.2922438489008174
k_AKTp,0.38677213162122653,1.2922438489008174
k_AKT_JNK,0.23969538571725946,1.2922438489008174
k_GSK3,0.27232488383869474,1.2922438489008174
k_GSK3p,0.8481564333327295,1.2922438489008174
k_JNK_ROS,4.884202158832862,1.2922438489008174
k_JNK_upr,4.557332752744239,1.2922438489008174
k_p38_ROS,3.666120909655744,1.2922438489008174
k_p38_upr,4.895605278839218,1.2922438489008174
k_MAPKp,1.6328938709879832,1.2922438489008174
k_FOXO1_AKTp,1.8051977586816603,1.2922438489008174
k_FOXO1p_MAPKp,0.8946134959975288,1.2922438489008174
V_mPDX1,1.6288023451055647,1.2922438489008174
K_MAFA_PDX1,1.8680708687829695,1.2922438489008174
K_FOXO1_PDX1,2.5295559879761598,1.2922438489008174
k_PDX1_FOXO1_efflux,0.14691415918859202,1.2922438489008174
k_GSK3_PDX1_pdeg,0.09620442487875022,1.2922438489008174
V_mMAFA,1.6331904772988985,1.2922438489008174
K_PDX1_MAFA,2.606946262754398,1.2922438489008174
K_FOXO1_MAFA,0.7774507895085965,1.2922438489008174
k_ROS_MAFA,0.06400949303166122,1.2922438489008174
k_GSK3_MAFA_pdeg,0.008204663141591066,1.2922438489008174
V_mINS,1.0275617353118465,1.2922438489008174
K_PDX1_INS,2.2190250840123844,1.2922438489008174
K_MAFA_INS,2.386463627743875,1.2922438489008174
